-1,EPI_ISL_18914521|A/turkey/Wisconsin/24-000378-001-original/2024|2024.005,41.7402,19.4118,38.8235,64.1176,38.8235,43.9943,18.4922,45.5192,81.7923,41.963,47.925,26.7917,48.2251,73.6772,40.8573,44.2272,24.6856,47.0424,58.6865,46.1109,42.3162,19.3833,41.4097,58.1498,37.0044,46.0255,22.4077,43.058,72.935,43.058,51.455,34.4371,62.2517,72.8477,54.3046,48.2609,27.5762,50.7983,63.8607,46.4441,-1,Avian,Minor62
-1,EPI_ISL_18914522|A/turkey/Wisconsin/24-000378-002-original/2024|2024.005,41.7402,19.4118,38.8235,64.1176,38.8235,43.9943,18.4922,45.5192,81.7923,41.963,47.925,26.7917,48.2251,73.6772,40.8573,44.2272,24.6856,47.0424,58.6865,46.1109,42.3162,19.3833,41.4097,58.1498,37.0044,46.0694,22.4077,43.058,73.3743,43.058,51.455,34.4371,62.2517,72.8477,54.3046,48.2609,27.5762,50.7983,63.8607,46.4441,-1,Avian,Minor62
-1,EPI_ISL_18914523|A/turkey/Wisconsin/24-000378-003-original/2024|2024.005,41.7402,19.4118,38.8235,64.1176,38.8235,43.9943,18.4922,45.5192,81.7923,41.963,47.925,26.7917,48.2251,73.6772,40.8573,44.2272,24.6856,47.0424,58.6865,46.1109,42.3162,19.3833,41.4097,58.1498,37.0044,46.0255,22.4077,43.058,72.935,43.058,51.455,34.4371,62.2517,72.8477,54.3046,48.2609,27.5762,50.7983,63.8607,46.4441,-1,Avian,Minor62
-1,EPI_ISL_18914524|A/domesticgoose/California/24-000492-001-original/2024|2024.005,42.0341,19.4118,38.8235,65.2941,40,43.8522,17.0697,44.808,81.7923,41.963,48.0589,27.4615,48.2251,75.0167,42.1969,44.3669,25.1514,47.5082,59.1523,46.5766,42.3162,18.0617,41.8502,57.2687,38.7665,45.0154,22.8471,40.8612,68.5413,41.3005,51.7196,34.4371,64.9007,74.1722,55.6291,47.3913,27.5762,47.8955,60.9579,44.9927,-1,Avian,B3.6
-1,EPI_ISL_18914525|A/chicken/California/24-000494-001-original/2024|2024.008,42.0341,18.8235,38.8235,65.2941,39.4118,43.9232,17.7809,44.808,81.0811,41.963,47.7912,26.7917,48.2251,72.3376,40.8573,44.3203,24.6856,47.5082,58.6865,46.5766,42.14,18.9427,41.4097,56.8282,37.4449,44.9275,22.4077,40.8612,67.6626,42.1793,51.3228,33.1126,62.2517,72.8477,52.9801,47.6812,26.1248,49.3469,63.8607,44.9927,-1,Avian,B3.6
-1,EPI_ISL_18914526|A/chicken/California/24-000494-002-original/2024|2024.008,42.0341,18.8235,38.8235,65.2941,39.4118,43.9232,17.7809,44.808,81.0811,41.963,47.7912,26.7917,48.2251,72.3376,40.8573,44.3203,24.6856,47.5082,58.6865,46.5766,42.14,18.9427,41.4097,56.8282,37.4449,44.9275,22.4077,40.8612,67.6626,42.1793,51.3228,33.1126,62.2517,72.8477,52.9801,47.6812,26.1248,49.3469,63.8607,44.9927,-1,Avian,B3.6
-1,EPI_ISL_18914527|A/chicken/Colorado/24-000499-001-original/2024|2024.008,41.6226,18.2353,38.8235,62.3529,39.4118,44.2786,19.9147,44.0967,83.2148,42.6743,47.7912,26.7917,48.2251,73.0074,40.8573,44.2272,24.6856,46.1109,58.6865,46.1109,42.4042,19.8238,42.2907,58.5903,37.0044,45.1471,22.4077,40.8612,69.8594,40.8612,51.3228,33.1126,60.9272,72.8477,54.3046,47.971,27.5762,49.3469,63.8607,44.9927,-1,Avian,B3.6
-1,EPI_ISL_18914528|A/chicken/Maine/24-000724-001-original/2024|2024.019,41.9753,17.6471,38.2353,64.7059,41.1765,44.2075,19.2034,44.0967,82.5036,41.963,47.7912,27.4615,47.5553,75.6865,36.1688,44.7393,22.8225,47.5082,63.81,51.7,42.8446,18.0617,40.9692,59.4714,39.207,45.8059,24.6046,43.058,71.1775,43.4974,50.2646,33.1126,59.6026,71.5232,50.3311,47.5362,23.2221,49.3469,66.7634,56.6038,-1,Avian,C2.1
-1,EPI_ISL_18914529|A/chicken/Maine/24-000724-002-original/2024|2024.019,41.9753,17.6471,38.2353,64.7059,41.1765,44.2075,19.2034,44.0967,82.5036,41.963,47.7912,27.4615,47.5553,75.6865,36.1688,44.6927,22.3568,47.5082,63.3442,51.7,42.8446,18.0617,40.9692,59.4714,39.207,45.8059,24.6046,43.058,71.1775,43.4974,50.2646,33.1126,59.6026,71.5232,50.3311,47.5362,23.2221,49.3469,66.7634,56.6038,-1,Avian,C2.1
-1,EPI_ISL_18914530|A/chicken/Maine/24-000724-003-original/2024|2024.019,41.9753,17.6471,38.2353,64.7059,41.1765,44.2075,19.2034,44.0967,82.5036,41.963,47.7912,27.4615,47.5553,75.6865,36.1688,44.7393,22.8225,47.5082,63.81,51.7,42.8446,18.0617,40.9692,59.4714,39.207,45.8059,24.6046,43.058,71.1775,43.4974,50.2646,33.1126,59.6026,71.5232,50.3311,47.5362,23.2221,49.3469,66.7634,56.6038,-1,Avian,C2.1
