EPI_ISL_80505|Canine|H3N2|2006.414|Asia|,2006.414,-386.5,42.3596304193319,1407,1407,39.2324093816631,43.9232409381663
EPI_ISL_80506|Canine|H3N2|2006.581|Asia|,2006.581,-383,42.2885572139304,1407,1407,39.2324093816631,43.816631130064
EPI_ISL_80508|Canine|H3N2|2007.293|Asia|,2007.293,-383.1,42.2885572139304,1407,1407,39.2324093816631,43.816631130064
EPI_ISL_127502|Canine|H3N2|2007.329|Asia|,2007.329,-379.9,42.501776830135,1407,1407,39.8720682302772,43.816631130064
EPI_ISL_129593|Canine|H3N2|2010.745|Asia|,2010.745,-378.8,41.8966737438075,1413,1413,38.0042462845011,43.8428874734607
EPI_ISL_93812|Canine|H3N2|2010.414|Asia|,2010.414,-374.2,41.6843595187544,1413,1413,37.791932059448,43.6305732484076
EPI_ISL_137602|Canine|H3N2|2012.038|Asia|,2012.038,-374.6,41.6131334760885,1401,1401,37.9014989293362,43.4689507494647
EPI_ISL_151146|Canine|H3N2|2012.713|Asia|,2012.713,-377.7,41.4720452937013,1413,1413,38.0042462845011,43.2059447983015
EPI_ISL_151145|Canine|H3N2|2012.705|Asia|,2012.705,-379.1,41.6312056737589,1410,1410,38.0851063829787,43.4042553191489
EPI_ISL_328525|Canine|H3N2|2017.225|NorthAmerica|,2017.225,-373.5,41.4012738853503,1413,1413,37.5796178343949,43.312101910828
EPI_ISL_379547|Canine|H3N2|2014.005|Asia|,2014.005,-372.3,41.2597310686483,1413,1413,36.9426751592357,43.4182590233546
EPI_ISL_379546|Canine|H3N2|2014.025|Asia|,2014.025,-374.6,41.3305024769993,1413,1413,37.1549893842887,43.4182590233546
EPI_ISL_379508|Canine|H3N2|2013.932|Asia|,2013.932,-373.7,41.2597310686483,1413,1413,37.1549893842887,43.312101910828
EPI_ISL_379512|Canine|H3N2|2013.863|Asia|,2013.863,-374.5,41.3305024769993,1413,1413,37.1549893842887,43.4182590233546
EPI_ISL_379509|Canine|H3N2|2013.923|Asia|,2013.923,-373.4,41.1181882519462,1413,1413,36.7303609341826,43.312101910828
EPI_ISL_379511|Canine|H3N2|2013.921|Asia|,2013.921,-374.5,41.3305024769993,1413,1413,37.1549893842887,43.4182590233546
EPI_ISL_379510|Canine|H3N2|2013.921|Asia|,2013.921,-373.7,41.2597310686483,1413,1413,37.1549893842887,43.312101910828
EPI_ISL_297934|Canine|H3N2|2015.956|Asia|,2015.956,-370.6,41.2597310686483,1413,1413,36.7303609341826,43.5244161358811
EPI_ISL_297933|Canine|H3N2|2015.956|Asia|,2015.956,-370.2,41.0474168435952,1413,1413,36.5180467091295,43.312101910828
