EPI_ISL_199469|Swine|H1N1|1979|Europe|,0.5579257104076966,1979
EPI_ISL_170519|Swine|H1N1|1980|Europe|,0.558861961629526,1980
EPI_ISL_539861|Swine|H1N1|1980|Europe|,0.5583419758709691,1980
EPI_ISL_170522|Swine|H1N1|1981.145|Europe|,0.5581839024459576,1981.145
EPI_ISL_170527|Swine|H1N1|1981|Europe|,0.557563688648227,1981
EPI_ISL_170784|Swine|H1N1|1981|Europe|,0.5582020894539773,1981
EPI_ISL_170579|Swine|H1N1|1981|Europe|,0.5572145779165748,1981
EPI_ISL_539862|Swine|H1N1|1981|Europe|,0.5581422259177401,1981
EPI_ISL_170523|Swine|H1N1|1981|Europe|,0.557395685551358,1981
EPI_ISL_170518|Swine|H1N1|1980|Europe|,0.5571761876383613,1980
EPI_ISL_504556|Swine|H1N1|1998|Europe|,0.5584840301997694,1998
EPI_ISL_29420|Swine|H1N1|1989|Europe|,0.5550318157684382,1989
EPI_ISL_68984|Swine|H1N1|1987|Europe|,0.5551874163685733,1987
EPI_ISL_68983|Swine|H1N1|1987|Europe|,0.5555589539730941,1987
EPI_ISL_88365|Swine|H1N1|2005.074|Asia|,0.5500985213099064,2005.074
EPI_ISL_29097|Swine|H1N1|1992|Europe|,0.5575423568334155,1992
EPI_ISL_129469|Swine|H1N1|1992.101|Europe|,0.5497708494267284,1992.101
EPI_ISL_129468|Swine|H1N1|1992.016|Europe|,0.5505317210854,1992.016
EPI_ISL_199476|Swine|H1N1|1992|Europe|,0.550338262806887,1992
EPI_ISL_129485|Swine|H1N1|1994.005|Europe|,0.5494080784955561,1994.005
EPI_ISL_29422|Swine|H1N1|1992|Europe|,0.5496140651552104,1992
EPI_ISL_129479|Swine|H1N1|1999.455|Europe|,0.546764057643621,1999.455
EPI_ISL_29409|Swine|H1N1|1993|Europe|,0.5498429804540532,1993
EPI_ISL_129501|Swine|H1N1|1995.803|Europe|,0.5492412145083041,1995.803
EPI_ISL_129465|Swine|H1N1|2000.208|Europe|,0.5490644736164001,2000.208
EPI_ISL_129466|Swine|H1N1|2000.208|Europe|,0.5478581145728009,2000.208
EPI_ISL_195130|Swine|H1N1|2012.538|Europe|,0.5461196431907489,2012.538
EPI_ISL_195168|Swine|H1N1|2013.636|Europe|,0.5423172616657632,2013.636
EPI_ISL_129458|Swine|H1N1|2004.686|Europe|,0.544739854600197,2004.686
EPI_ISL_195124|Swine|H1N1|2011.896|Europe|,0.5475479711931792,2011.896
EPI_ISL_129454|Swine|H1N1|2003.112|Europe|,0.5467357836725891,2003.112
EPI_ISL_129453|Swine|H1N1|2001.038|Europe|,0.5496411076611689,2001.038
EPI_ISL_129492|Swine|H1N1|1999.863|Europe|,0.5490701313038872,1999.863
EPI_ISL_129483|Swine|H1N1|2001.868|Europe|,0.5510429573105918,2001.868
EPI_ISL_129457|Swine|H1N1|2005.753|Europe|,0.5502384515374373,2005.753
EPI_ISL_129490|Swine|H1N1|2006.34|Europe|,0.5506498188422964,2006.34
EPI_ISL_199472|Swine|H1N1|2006|Europe|,0.5488954376793034,2006
EPI_ISL_129455|Swine|H1N1|1997.31|Europe|,0.5495699119521104,1997.31
EPI_ISL_129502|Swine|H1N1|1995.923|Europe|,0.5518360809209358,1995.923
EPI_ISL_129499|Swine|H1N1|1998.882|Europe|,0.5491309030534751,1998.882
EPI_ISL_129467|Swine|H1N1|1998.17|Europe|,0.5496307725834001,1998.17
EPI_ISL_129487|Swine|H1N1|1994.101|Europe|,0.5476844472220783,1994.101
EPI_ISL_129471|Swine|H1N1|1992.792|Europe|,0.5495295873391964,1992.792
EPI_ISL_129482|Swine|H1N1|2005.266|Europe|,0.5482552934239743,2005.266
EPI_ISL_129472|Swine|H1N1|2002.175|Europe|,0.5506231349886315,2002.175
EPI_ISL_29416|Swine|H1N1|1999|Europe|,0.549762815592087,1999
EPI_ISL_129478|Swine|H1N1|2006.195|Europe|,0.5511951011270019,2006.195
EPI_ISL_129451|Swine|H1N1|2007.847|Europe|,0.5512013612997382,2007.847
EPI_ISL_195119|Swine|H1N1|2007.142|Europe|,0.5494349652559152,2007.142
