GeneId	GCContent
H1	42.8150765606596
H1	42.8150765606596
H1	42.9328621908127
H1	43.7573616018846
H1	43.0506478209658
H1	42.0494699646643
H1	42.4028268551237
H1	42.4028268551237
H1	42.226148409894
H1	42.3439340400471
H1	42.3439340400471
H1	42.226148409894
H1	42.1672555948174
H1	42.1672555948174
H1	43.9340400471143
H1	43.8751472320377
H1	43.698468786808
H1	43.1095406360424
H1	43.0506478209658
H1	43.9929328621908
H1	44.1107184923439
H1	43.9340400471143
H1	43.8162544169611
H1	43.8751472320377
H1	43.8162544169611
H1	43.8721136767318
H1	44.2873969375736
H1	44.1107184923439
H1	43.8162544169611
H1	43.7573616018846
H1	43.6395759717314
H1	43.5217903415783
H1	42.9917550058893
H1	43.8751472320377
H1	43.8751472320377
H1	44.1696113074205
H1	44.1696113074205
H1	43.5806831566549
H1	43.2273262661955
H1	43.1095406360424
H1	42.8150765606596
H1	42.8150765606596
H1	42.8739693757362
H1	43.8751472320377
H1	43.8751472320377
H1	43.8751472320377
H1	43.8751472320377
H1	43.5806831566549
H1	43.2273262661955
H1	43.6395759717314
H1	44.228504122497
H1	43.9340400471143
H1	43.4966727162734
H1	43.6395759717314
H1	43.6395759717314
H1	43.5806831566549
H1	43.6395759717314
H1	43.3451118963486
H1	43.2273262661955
H1	43.2862190812721
H1	43.2862190812721
H1	43.5217903415783
H1	43.4628975265018
H1	43.4040047114252
H1	43.3451118963486
H1	43.3451118963486
H1	44.1107184923439
H1	43.8751472320377
H1	43.8751472320377
H1	43.8162544169611
H1	43.8751472320377
H1	43.9929328621908
H1	43.8751472320377
H1	44.0626883664858
H1	43.698468786808
H1	43.4040047114252
H1	43.4628975265018
H1	43.2862190812721
H1	42.9917550058893
H1	43.4628975265018
H1	43.0506478209658
H1	43.7573616018846
H1	43.698468786808
H1	43.4040047114252
H1	43.4729811778992
H1	43.3451118963486
H1	43.3451118963486
H1	43.4040047114252
H1	43.5806831566549
H1	43.2273262661955
H1	43.2273262661955
H1	43.2273262661955
H1	43.4628975265018
H1	43.5217903415783
H1	43.5806831566549
H1	43.4628975265018
H1	43.5217903415783
H1	43.3451118963486
H1	43.5217903415783
H1	43.3451118963486
H1	43.1095406360424
H1	43.4040047114252
H1	42.8739693757362
H1	43.2273262661955
H1	43.2862190812721
H1	43.1095406360424
H1	43.168433451119
H1	43.168433451119
H1	43.1899641577061
H1	43.2862190812721
H1	43.1198102016607
H1	43.1966726084373
H1	43.698468786808
H1	43.4040047114252
H1	43.9340400471143
H1	43.6036036036036
H1	43.7837837837838
H1	43.6636636636637
H1	43.7237237237237
H1	43.6636636636637
H1	43.7237237237237
H1	43.6636636636637
H1	42.9917550058893
H1	43.6636636636637
H1	43.8162544169611
H1	43.4040047114252
H1	43.8162544169611
H1	43.7573616018846
H1	43.7573616018846
H1	43.7573616018846
H1	43.7573616018846
H1	43.7573616018846
H1	43.7573616018846
H1	43.7573616018846
H1	43.9340400471143
H1	44.0518256772674
H1	43.9340400471143
H1	43.9340400471143
H1	43.7573616018846
H1	43.5217903415783
H1	43.8751472320377
H1	43.8162544169611
H1	43.8162544169611
H1	43.698468786808
H1	43.6395759717314
H1	43.5806831566549
H1	43.698468786808
H1	43.6395759717314
H1	43.7573616018846
H1	43.4040047114252
H1	43.698468786808
H1	43.4040047114252
H1	43.6395759717314
H1	43.698468786808
H1	43.6395759717314
H1	43.5806831566549
H1	43.5217903415783
H1	43.4628975265018
H1	43.5217903415783
H1	43.7573616018846
H1	43.698468786808
H1	43.5806831566549
H1	43.5806831566549
H1	43.8162544169611
H1	43.8751472320377
H1	43.9929328621908
H1	44.0518256772674
H1	44.0518256772674
H1	43.8162544169611
H1	43.8162544169611
H1	43.8162544169611
H1	43.8162544169611
H1	43.8162544169611
H1	43.7573616018846
H1	43.8162544169611
H1	43.698468786808
H1	43.7573616018846
H1	43.698468786808
H1	43.8162544169611
H1	43.698468786808
H1	43.7573616018846
H1	43.7573616018846
H1	43.8751472320377
H1	43.8162544169611
H1	43.7573616018846
H1	43.7573616018846
H1	43.8162544169611
H1	43.8162544169611
H1	43.8162544169611
H1	43.8751472320377
H1	43.8751472320377
H1	43.8751472320377
H1	43.8751472320377
H1	43.8162544169611
H1	43.8162544169611
H1	43.7573616018846
H1	43.6395759717314
H1	43.9929328621908
H1	43.6395759717314
H1	43.6395759717314
H1	43.7237237237237
H1	43.4966727162734
H1	42.8739693757362
H1	42.8739693757362
H1	42.8739693757362
H1	42.8150765606596
H1	42.6972909305065
H1	42.6972909305065
H1	42.756183745583
H1	43.5806831566549
H1	43.4040047114252
H1	42.9917550058893
H1	43.0678466076696
H1	42.9328621908127
H1	42.9917550058893
H1	42.8739693757362
H1	42.8739693757362
H1	42.9328621908127
H1	42.8739693757362
H1	42.8150765606596
