1	1:43.9245	2:27.1159	3:44.3714	4:62.4486	5:44.3714	6:42.5018	7:19.9147	8:42.6743	9:73.9687	10:38.4068	11:46.9880	12:22.1031	13:46.2157	14:72.3376	15:38.8480	16:43.8082	17:21.8910	18:46.1109	19:61.9469	20:42.3847	21:43.4170	22:18.9427	23:40.0881	24:57.2687	25:47.1366	26:44.4005	27:21.9684	28:42.1793	29:69.4200	30:34.7100	31:50.1323	32:33.1126	33:66.2252	34:78.1457	35:50.3311	36:47.9710	37:31.9303	38:50.7983	39:65.3120	40:46.4441	EPI_ISL_1211|Human|H1N1|1918|NorthAmerica|seasonal
1	1:42.1115	2:14.2433	3:35.0148	4:66.4688	5:40.3561	6:43.9232	7:19.2034	8:44.0967	9:66.8563	10:40.5405	11:46.8541	12:27.4615	13:46.2157	14:78.3657	15:38.8480	16:42.7840	17:20.0279	18:43.7820	19:57.7550	20:39.5901	21:43.1528	22:20.2643	23:40.5286	24:55.9471	25:40.5286	26:43.3026	27:21.9684	28:38.6643	29:67.2232	30:33.8313	31:49.7354	32:23.8411	33:67.5497	34:79.4702	35:51.6556	36:45.9916	37:29.5775	38:46.4789	39:66.1972	40:50.7042	EPI_ISL_170560|Human|H2N2|1957|Asia|
1	1:44.4052	2:22.9817	3:47.7313	4:68.3559	5:38.8922	6:43.2125	7:19.9147	8:44.8080	9:65.4339	10:36.9844	11:46.3186	12:25.4521	13:48.2251	14:74.3470	15:38.1782	16:42.5047	17:21.4252	18:43.3163	19:57.7550	20:40.5217	21:42.6244	22:17.1806	23:39.2070	24:54.6256	25:42.2907	26:42.6877	27:19.7715	28:36.4675	29:65.4657	30:35.5888	31:49.3386	32:21.1921	33:67.5497	34:79.4702	35:50.3311	36:45.5696	37:29.5775	38:43.6620	39:64.7887	40:47.8873	EPI_ISL_79844|Human|H3N2|1968|Asia|
1	1:40.7538	2:15.9104	3:38.8922	4:61.2846	5:36.5351	6:42.0043	7:17.7809	8:36.9844	9:69.7013	10:36.9844	11:46.1178	12:24.1125	13:50.9042	14:70.9980	15:45.5459	16:44.1806	17:22.8225	18:45.6451	19:61.9469	20:45.6451	21:42.0079	22:15.4185	23:37.4449	24:61.2335	25:41.4097	26:44.6640	27:18.8928	28:43.4974	29:67.2232	30:41.3005	31:48.5450	32:26.4901	33:64.9007	34:67.5497	35:43.7086	36:45.6621	37:32.0122	38:42.6829	39:62.5000	40:50.3049	EPI_ISL_63927|Human|H1N1|2009|NorthAmerica|pdm09
1	1:40.4720	2:15.3483	3:41.3223	4:54.3093	5:38.3707	6:40.6383	7:16.3236	8:29.8084	9:71.6820	10:35.4862	11:45.4485	12:25.4521	13:44.2063	14:73.0074	15:40.1875	16:41.0615	17:16.7676	18:37.7271	19:52.6316	20:41.4532	21:41.8758	22:20.2643	23:36.1233	24:56.3877	25:43.6123	26:42.8634	27:19.7715	28:41.3005	29:58.8752	30:44.8155	31:48.6772	32:31.7881	33:63.5762	34:67.5497	35:55.6291	36:44.0580	37:23.2221	38:44.9927	39:56.6038	40:46.4441	EPI_ISL_79864|Canine|H3N8|2005.745|NorthAmerica|
1	1:42.5795	2:18.8568	3:46.5527	4:60.6953	5:45.9635	6:42.3596	7:17.0697	8:39.8293	9:67.5676	10:34.1394	11:47.4565	12:29.4709	13:48.2251	14:73.6772	15:37.5084	16:43.8082	17:23.2883	18:46.5766	19:62.4127	20:47.0424	21:43.0647	22:17.6211	23:35.2423	24:59.9119	25:44.4934	26:44.8397	27:25.0439	28:43.0580	29:70.2988	30:39.5431	31:51.3228	32:31.7881	33:68.8742	34:74.1722	35:58.2781	36:44.9275	37:26.1248	38:46.4441	39:60.9579	40:43.5414	EPI_ISL_80505|Canine|H3N2|2006.414|Asia|
1	1:42.4779	2:20.6612	3:41.3223	4:64.3447	5:41.9126	6:43.9716	7:26.2598	8:35.4862	9:79.4890	10:39.0348	11:47.5234	12:23.4427	13:50.9042	14:76.3563	15:41.5271	16:43.8082	17:23.2883	18:42.3847	19:59.6181	20:49.3712	21:44.8261	22:28.1938	23:40.9692	24:60.3524	25:46.2555	26:44.7519	27:21.9684	28:41.3005	29:68.1019	30:45.6942	31:50.5291	32:30.4636	33:66.2252	34:70.1987	35:58.2781	36:46.0870	37:24.6734	38:49.3469	39:56.6038	40:44.9927	EPI_ISL_8092|Equine|H3N8|1963|NorthAmerica|
1	1:41.9906	2:17.6783	3:39.4814	4:58.9275	5:38.8922	6:41.7910	7:18.4922	8:45.5192	9:66.8563	10:36.2731	11:47.1218	12:26.7917	13:48.2251	14:73.0074	15:39.5177	16:43.5289	17:20.4937	18:43.7820	19:61.4811	20:44.2478	21:43.2409	22:21.1454	23:41.4097	24:59.9119	25:47.5771	26:44.1370	27:20.2109	28:41.7399	29:71.1775	30:33.8313	31:49.2063	32:34.4371	33:68.8742	34:67.5497	35:55.6291	36:47.6812	37:34.8331	38:50.7983	39:79.8258	40:44.9927	EPI_ISL_69972|Swine|H1N1|1931|NorthAmerica|
1	1:41.8536	2:16.5779	3:42.0367	4:59.2066	5:40.2605	6:43.7100	7:17.7809	8:41.9630	9:71.8350	10:37.6956	11:47.5904	12:25.4521	13:48.8948	14:75.6865	15:36.1688	16:43.9013	17:24.2198	18:43.3163	19:61.9469	20:44.7136	21:43.3480	22:18.9594	23:39.2416	24:61.2875	25:42.3280	26:43.8296	27:21.9684	28:42.1793	29:66.7838	30:38.6643	31:50.1326	32:29.2943	33:67.9095	34:74.5672	35:46.6045	36:46.6667	37:30.4790	38:50.7983	39:62.4093	40:39.1872	EPI_ISL_199469|Swine|H1N1|1979|Europe|
1	1:42.6384	2:19.4461	3:45.9635	4:65.4095	5:43.0171	6:42.9282	7:17.0697	8:44.0967	9:67.5676	10:40.5405	11:45.5823	12:24.7823	13:50.2344	14:70.3282	15:40.8573	16:44.2272	17:21.8910	18:47.0424	19:60.0838	20:44.7136	21:42.3162	22:14.9780	23:37.4449	24:59.4714	25:46.6960	26:45.1032	27:21.0896	28:44.8155	29:71.1775	30:39.5431	31:48.8095	32:31.7881	33:59.6026	34:74.1722	35:47.6821	36:46.1187	37:33.5366	38:41.1585	39:64.0244	40:51.8293	EPI_ISL_10149|Swine|H3N2|2005|NorthAmerica|
